,media,desviacion_estandar,minimo,q1,mediana,q3,maximo
gold_earned,56116.733298538624,14476.415845146852,14839.0,47084.5,56715.0,65420.0,110541.0
total_damage_dealt_to_champions,108549.18023660404,45777.92315848587,8478.0,77313.5,105170.5,134270.5,415982.0
total_damage_taken,140469.0400139179,52411.50362946458,18785.0,106808.0,136898.0,169674.75,460492.0
damage_dealt_to_turrets,17326.174669450244,9550.107085898002,0.0,8767.0,17433.5,25563.5,42167.0
wards_placed,55.531489213639524,17.90741078818073,10.0,44.0,54.0,66.0,146.0
wards_killed,12.712247738343772,7.442162087538045,0.0,7.0,12.0,17.0,68.0
vision_score,25.046972860125262,9.031451312580515,3.0,19.0,24.6,30.6,70.8
champion_mastery_level,22.433750869867776,20.09648214127815,1.4,9.0,15.7,29.0,262.2
baron_kills,0.07011134307585247,0.28005602634322635,0.0,0.0,0.0,0.0,3.0
dragon_kills,0.3406402226861517,0.7953040402512512,0.0,0.0,0.0,0.0,6.0
